iter	Passed	Remaining
376	722	1194
377	723	1191
378	725	1188
379	726	1185
380	727	1182
381	728	1178
382	729	1175
383	730	1172
384	732	1169
385	732	1165
386	733	1162
387	734	1159
388	735	1155
389	736	1152
390	737	1149
391	738	1145
392	740	1143
393	740	1139
394	741	1136
395	742	1133
396	743	1129
397	744	1126
398	745	1123
399	746	1119
400	747	1116
401	748	1113
402	749	1110
403	750	1106
404	751	1103
405	752	1100
406	754	1098
407	755	1095
408	755	1092
409	756	1089
410	758	1086
411	759	1083
412	760	1080
413	761	1077
414	762	1074
415	763	1071
416	764	1068
417	765	1065
418	766	1063
419	767	1060
420	768	1057
421	772	1057
422	773	1055
423	774	1052
424	775	1049
425	776	1046
426	777	1043
427	779	1041
428	780	1038
429	781	1036
430	782	1033
431	784	1030
432	785	1028
433	786	1025
434	787	1022
435	788	1019
436	789	1017
437	790	1014
438	791	1011
439	792	1009
440	793	1006
441	796	1004
442	797	1002
443	798	999
444	799	996
445	800	994
446	801	991
447	802	988
448	803	986
449	804	983
450	805	980
451	806	978
452	807	975
453	809	973
454	810	970
455	811	968
456	812	965
